###########################################################
# Symbols for group column                                #
# -   : not used (non-SS/3L)                              #
# *** : not used (SS/3L, but missing reco)                #
# ??? : not used (SS/3L, but using different sample set)  #
#                                                         #
# Symbols for SUSYTools K-factor column                   #
# -   : not available                                     #
# +++ : agrees with value in K-factor column              #
###########################################################

# DSID  short name              group           N_events    lumi (fb^-1)    AMIXsec (pb)    BR      FiltEff     K-factor    Higher-order xsec (pb)  SUSYTools K-factor

### dibosons
363050  lllvSFMinus_renorm4     WZ_renorm4      450000      262.54          1.714           1.0     1.0         1.0         1.714                   -
363051  lllvSFMinus_renorm025   WZ_renorm025    450000      220.87          2.0374          1.0     1.0         1.0         2.0374                  -
363052  lllvSFMinus_qsf4        WZ_qsf4         450000      248.23          1.8128          1.0     1.0         1.0         1.8128                  -
363053  lllvSFMinus_qsf025      WZ_qsf025       450000      239.2           1.8813          1.0     1.0         1.0         1.8813                  -

361065  lllvOFMinus_reco        WZ_reco         -           3.209           -               -       -           -           -                       -
361065  lllvOFMinus_nom         WZ_nom          900000      248.276         3.6235          1.0     1.0         1.0         -                       0.91
363054  lllvOFMinus_fac4        WZ_fac4         900000      256.02          3.5153          1.0     1.0         1.0         3.5153                  -
363055  lllvOFMinus_fac025      WZ_fac025       900000      244.47          3.6815          1.0     1.0         1.0         3.6815                  -
363056  lllvOFMinus_renorm4     WZ_renorm4      900000      266.56          3.3763          1.0     1.0         1.0         3.3763                  -
363057  lllvOFMinus_renorm025   WZ_renorm025    900000      225.03          3.9994          1.0     1.0         1.0         3.9994                  -
363058  lllvOFMinus_qsf4        WZ_qsf4         900000      251.03          3.5853          1.0     1.0         1.0         3.5853                  -
363059  lllvOFMinus_qsf025      WZ_qsf025       900000      243.56          3.6952          1.0     1.0         1.0         3.6952                  -

361066  lllvSFPlus_reco         WZ_reco         -           3.209           -               -       -           -           -                       -
361066  lllvSFPlus_nom          WZ_nom          600000      234.19          2.5656          1.0     1.0         1.0         -                       0.91
363060  lllvSFPlus_fac4         WZ_fac4         600000      241.41          2.4854          1.0     1.0         1.0         2.4854                  -
363061  lllvSFPlus_fac025       WZ_fac025       600000      228.5           2.6258          1.0     1.0         1.0         2.6258                  -
363062  lllvSFPlus_renorm4      WZ_renorm4      600000      253.29          2.3688          1.0     1.0         1.0         2.3688                  -
363063  lllvSFPlus_renorm025    WZ_renorm025    600000      212.28          2.8265          1.0     1.0         1.0         2.8265                  -
363064  lllvSFPlus_qsf4         WZ_qsf4         600000      237.29          2.5286          1.0     1.0         1.0         2.5286                  -
363065  lllvSFPlus_qsf025       WZ_qsf025       600000      229.93          2.6095          1.0     1.0         1.0         2.6095                  -

361067  lllvOFPlus_reco         WZ_reco         -           3.209           -               -       -           -           -                       -
361067  lllvOFPlus_nom          WZ_nom          1200000     238.81          5.0169          1.0     1.0         1.0         -                       0.91
363066  lllvOFPlus_fac4         WZ_fac4         1200000     244.88          4.9003          1.0     1.0         1.0         4.9003                  -
363067  lllvOFPlus_fac025       WZ_fac025       1200000     234.85          5.1097          1.0     1.0         1.0         5.1097                  -
363068  lllvOFPlus_renorm4      WZ_renorm4      1200000     256.85          4.6719          1.0     1.0         1.0         4.6719                  -
